id,citing,cited,creation,timespan,journal_sc,author_sc
oci:061403928142-06330233606,omid:br/061403928142,omid:br/06330233606,1973,P4Y,no,no
oci:061403928142-06403469474,omid:br/061403928142,omid:br/06403469474,1973,P4Y,no,no
oci:061403928142-061804142878,omid:br/061403928142,omid:br/061804142878,1973,P1Y,no,no
oci:061403927938-061403928076,omid:br/061403927938,omid:br/061403928076,1983,P8Y,yes,no
oci:061403927938-061403928113,omid:br/061403927938,omid:br/061403928113,1983,P5Y,yes,no
oci:061403927938-06510225547,omid:br/061403927938,omid:br/06510225547,1983,P11Y,no,no
oci:061403928276-061403928253,omid:br/061403928276,omid:br/061403928253,1970,P0Y,yes,no
oci:061403927968-061403927886,omid:br/061403927968,omid:br/061403927886,1998,P5Y,yes,no
oci:061403927968-061403928005,omid:br/061403927968,omid:br/061403928005,1998,P4Y,yes,no
oci:061403927968-061403927972,omid:br/061403927968,omid:br/061403927972,1998,P4Y,yes,no
oci:061403927968-061403928013,omid:br/061403927968,omid:br/061403928013,1998,P3Y,yes,no
oci:061403927968-061403928044,omid:br/061403927968,omid:br/061403928044,1998,P3Y,yes,no
oci:061403927968-061403928025,omid:br/061403927968,omid:br/061403928025,1998,P3Y,yes,no
oci:061403927968-061403927987,omid:br/061403927968,omid:br/061403927987,1998,P3Y,yes,no
oci:061403927968-061403927989,omid:br/061403927968,omid:br/061403927989,1998,P2Y,yes,no
oci:061403927968-061403927998,omid:br/061403927968,omid:br/061403927998,1998,P2Y,yes,no
oci:061403927968-061403928007,omid:br/061403927968,omid:br/061403928007,1998,P2Y,yes,no
oci:061403927968-061403927966,omid:br/061403927968,omid:br/061403927966,1998,P1Y,yes,no
oci:061403927968-061403927994,omid:br/061403927968,omid:br/061403927994,1998,P1Y,yes,no
oci:061403927968-061403928026,omid:br/061403927968,omid:br/061403928026,1998,P1Y,yes,no
oci:061403927969-061403927886,omid:br/061403927969,omid:br/061403927886,1998,P5Y,yes,no
oci:061403927969-061403928005,omid:br/061403927969,omid:br/061403928005,1998,P4Y,yes,no
oci:061403927969-061403927972,omid:br/061403927969,omid:br/061403927972,1998,P4Y,yes,no
oci:061403927969-061403928013,omid:br/061403927969,omid:br/061403928013,1998,P3Y,yes,no
oci:061403927969-061403928044,omid:br/061403927969,omid:br/061403928044,1998,P3Y,yes,no
oci:061403927969-061403928025,omid:br/061403927969,omid:br/061403928025,1998,P3Y,yes,no
oci:061403927969-061403927987,omid:br/061403927969,omid:br/061403927987,1998,P3Y,yes,no
oci:061403927969-061403927989,omid:br/061403927969,omid:br/061403927989,1998,P2Y,yes,no
oci:061403927969-061403927998,omid:br/061403927969,omid:br/061403927998,1998,P2Y,yes,no
oci:061403927969-061403928007,omid:br/061403927969,omid:br/061403928007,1998,P2Y,yes,no
oci:061403927969-061403927966,omid:br/061403927969,omid:br/061403927966,1998,P1Y,yes,no
oci:061403927969-061403927994,omid:br/061403927969,omid:br/061403927994,1998,P1Y,yes,no
