citing,cited
doi:10.15468/dl.imolyy,doi:10.15468/dl.imoquw
doi:10.15468/dl.imolyy,doi:10.15468/dl.imools
doi:10.15468/dl.imolyy,doi:10.15468/dl.imor4f
doi:10.15468/dl.imolyy,issn:1868-8969
doi:10.15468/dl.imolyy,doi:10.15468/dl.imoryg
doi:10.15468/dl.imolyy,doi:10.15468/dl.imojpi
doi:10.15468/dl.imolyy,doi:10.15468/dl.imotgo
doi:10.15468/dl.imolyy,doi:10.15468/dl.2ymwb5
doi:10.15468/dl.imolyy,doi:10.1594/pangaea.141285
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2yad6y
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2xsurs
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2y0olz
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2xzuee
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2xmzgr
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2y8b9n
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2yfhcm
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2xkjeg
doi:10.15468/dl.2y6sxq,doi:10.15468/dl.2ylwyo
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2ydfyd
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2y4cw8
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2ymzjg
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2ynp24
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2xyc5a
doi:10.15468/dl.2yph1n,doi:10.15468/dl.2ykch8
doi:10.15468/dl.2yph1n,doi:10.15468/dl.xxwhd3
doi:10.15468/dl.2yph1n,doi:10.1594/pangaea.141216
doi:10.15468/dl.2yph1n,doi:10.15468/dl.hsfw1c
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2xy7fx
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2yikmv
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2xycfx
doi:10.15468/dl.2xwowk,doi:10.1594/pangaea.141284
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2ysqdx
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2y3ers
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2xsfak
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2y7m6q
doi:10.15468/dl.2xwowk,doi:10.15468/dl.2y8bwz
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2xysm4
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2xtaww
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2ym9z6
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2xrdus
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2xmktk
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2yaw8c
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2yq9y6
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2xz56k
doi:10.15468/dl.2ysvvj,doi:10.15468/dl.2y9ua5
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2yay79
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2ygjap
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2xt3y6
doi:10.15468/dl.2yk4f3,doi:10.1594/pangaea.141181
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2ym879
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2xnynv
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2yj9ha
doi:10.15468/dl.2yk4f3,openalex:W2917811532
doi:10.15468/dl.2yk4f3,doi:10.15468/dl.2xz63r
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2ycnfn
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2y764u
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2yhfw9
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2ydah2
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2ymw7d
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2xza4p
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2xnya7
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2y39kw
doi:10.15468/dl.2xqc4y,doi:10.15468/dl.2xq57d
doi:10.1594/pangaea.141291,doi:10.15468/dl.2ykwq0
doi:10.1594/pangaea.141291,doi:10.15468/dl.2xo1tt
doi:10.1594/pangaea.141291,doi:10.15468/dl.2ygzgt
doi:10.1594/pangaea.141291,doi:10.1594/pangaea.141317
doi:10.1594/pangaea.141291,doi:10.15468/dl.2xtqtd
doi:10.1594/pangaea.141291,doi:10.15468/dl.2ydizp
doi:10.1594/pangaea.141291,doi:10.15468/dl.2xqpby
doi:10.1594/pangaea.141291,doi:10.15468/dl.2yq98j
doi:10.1594/pangaea.141291,doi:10.15468/dl.2y3nhd
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2xz7kq
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2y5lcf
doi:10.15468/dl.2ysj5m,doi:10.1594/pangaea.141183
doi:10.15468/dl.2ysj5m,doi:10.1594/pangaea.141189
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2xseub
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2xx6kw
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2y4mn8
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2yrqz7
doi:10.15468/dl.2ysj5m,doi:10.15468/dl.2xu5g7
doi:10.15468/dl.2ylr8h,doi:10.1594/pangaea.141223
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2y8pqn
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2xwntr
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2yh94f
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2xtmxm
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2xt3z4
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2ygnn7
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2xyiue
doi:10.15468/dl.2ylr8h,doi:10.15468/dl.2ycldh
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xps6i
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xl08k
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xnd3s
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2ymqaz
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2y9meb
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2yrvu8
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xzqh9
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xxx9r
doi:10.15468/dl.hsfwh4,doi:10.15468/dl.2xw6h9
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2y51ej
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2yetn4
doi:10.15468/dl.2xwn0t,doi:10.1594/pangaea.141293
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2ymemd
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2yognd
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2xkkut
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2xs5ts
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2yiywg
doi:10.15468/dl.2xwn0t,doi:10.15468/dl.2y897x
